id,format,rmse,psnr,compression_rate,runtime
0,mp3,0.002226583322567784,149.37668703898674,0.09659566375047547,0.027918100357055664
0,flac,0.0,inf,0.45547736782046405,0.020459890365600586
0,aac,669.9874629209687,39.808132553682036,0.29149866869532143,0.027523517608642578
1,mp3,0.003765745904480046,144.81244582650962,0.09605660726398224,0.03187727928161621
1,flac,0.0,inf,0.45696388563441653,0.020612239837646484
1,aac,999.1252725536261,36.33706718630266,0.28528190581899654,0.029236555099487305
2,mp3,0.0034412613820903686,145.59511285835106,0.09854680075146426,0.024382352828979492
2,flac,0.0,inf,0.4874295502265444,0.018733739852905273
2,aac,1022.9790060979727,36.1321316538352,0.314574354440638,0.025709152221679688
3,mp3,0.00418290509645616,143.89990585064416,0.09733107829387014,0.028733491897583008
3,flac,0.0,inf,0.4712894975662074,0.020517587661743164
3,aac,1272.3957308557065,34.23702200946109,0.2757542006985122,0.025179624557495117
4,mp3,0.0047149108612785946,142.85999634516688,0.09713484364830942,0.026473045349121094
4,flac,0.0,inf,0.4852403384262559,0.02010655403137207
4,aac,1286.8857131845778,34.138666486668725,0.27552917841757835,0.024366140365600586
